# Created: Sat Aug 02 18:50:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out.csv
#	metrics-output:	results/terasort-2dim/metrics.csv
#
# Points picked
# 	(10.0, 3.0)
# 	(30.0, 10.0)
# 	(20.0, 5.0)
# 	(10.0, 9.0)
# 	(50.0, 6.0)
# 	(50.0, 10.0)
# 	(30.0, 4.0)
# 	(50.0, 9.0)
# 	(30.0, 5.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
10.0	9.0	84.2700	181.3775	176.0200	166.0333	265.8077	123.4185	211.3895	96.6722	101.5583	204.0566	
20.0	9.0	121.5000	181.3775	176.0200	174.5611	265.8077	159.0709	230.6987	105.1218	131.9874	204.0566	
30.0	9.0	150.8700	181.3775	176.0200	199.7368	265.8077	304.0210	230.6987	120.8567	162.4165	204.0566	
40.0	9.0	158.6200	259.2867	176.0200	234.2724	347.5409	351.1859	270.7668	149.3478	192.8456	204.0566	
50.0	9.0	218.6400	259.2867	176.0200	268.1481	347.5409	357.7169	270.7668	198.4099	223.2747	204.0566	
10.0	10.0	87.0600	181.3775	176.0200	165.1898	265.8077	123.3111	211.3895	94.0379	87.8374	173.4077	
20.0	10.0	119.9100	181.3775	176.0200	170.0363	265.8077	155.7024	230.6987	100.1521	118.2665	173.4077	
30.0	10.0	149.9200	181.3775	176.0200	190.6849	265.8077	298.9660	230.6987	111.6398	148.6956	173.4077	
40.0	10.0	193.0000	259.2867	176.0200	221.0693	347.5409	350.0419	270.7668	132.7845	179.1247	173.4077	
50.0	10.0	291.0800	259.2867	176.0200	252.4635	347.5409	357.3042	270.7668	170.2713	209.5538	173.4077	


# Created: Sat Aug 02 18:50:51 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out.csv
#	metrics-output:	results/terasort-2dim/metrics.csv
#
# Points picked
# 	(30.0, 2.0)
# 	(30.0, 3.0)
# 	(30.0, 4.0)
# 	(30.0, 5.0)
# 	(30.0, 6.0)
# 	(30.0, 7.0)
# 	(30.0, 8.0)
# 	(30.0, 9.0)
# 	(30.0, 10.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
10.0	2.0	197.7700	365.1050	439.7700	283.3035	259.8918	303.4192	237.5162	401.0450	272.3400	335.3909	
20.0	2.0	378.2800	365.1050	439.7700	283.3035	259.8918	303.4192	237.5162	417.7365	272.3400	335.3909	
30.0	2.0	439.7700	365.1050	439.7700	283.3035	259.8918	303.4192	237.5162	434.5720	272.3400	335.3909	
40.0	2.0	646.0500	365.1050	439.7700	283.3035	259.8918	303.4192	237.5162	451.4416	272.3400	335.3909	
