site_id;latitude;longitude
RM720U2;41.875221;12.489695
RM720U3;41.875221;12.489695
RM724U1;41.827084;12.453639
RM600V1;41.844166;12.488389
RM601V1;41.865997;12.465278
RM601V2;41.865997;12.465278
RM601V3;41.865997;12.465278
RM611V1;41.865749;12.484722
RM611V2;41.865749;12.484722
RM611V3;41.865749;12.484722
RM643V1;41.858414;12.477722
RM643V2;41.858414;12.477722
RM643V3;41.858414;12.477722
RM644V1;41.830444;12.481444
RM644V2;41.830444;12.481444
RM644V3;41.830444;12.481444
RM645V1;41.842472;12.493306
RM645V2;41.842472;12.493306
RM645V3;41.842472;12.493306
RM646V1;41.831917;12.462083
RM646V2;41.831917;12.462083
RM646V3;41.831917;12.462083
RM647V1;41.835083;12.500417
RM647V2;41.835083;12.500417
RM647V3;41.835083;12.500417
RM648V1;41.841164;12.512028
RM648V2;41.841164;12.512028
RM648V3;41.841164;12.512028
RM716V1;41.832916;12.46761
RM716V2;41.832916;12.46761
RM716V3;41.832916;12.46761
RM720V1;41.875221;12.489695
RM720V2;41.875221;12.489695
RM720V3;41.875221;12.489695
RM724V1;41.827084;12.453639
RM887V1;41.817581;12.458694
RM887V2;41.817581;12.458694
RM887V3;41.817581;12.458694
RM894V1;41.837025;12.44925
RM894V2;41.837025;12.44925
RM894V3;41.837025;12.44925
RM887U1;41.817581;12.458694
RM887U2;41.817581;12.458694
RM887U3;41.817581;12.458694
RM894U1;41.837025;12.44925
RM894U2;41.837025;12.44925
RM894U3;41.837025;12.44925
RM562V1;41.827553;12.478666
RM577V1;41.836971;12.503445
RM590V1;41.87122;12.468082
RM590V2;41.87122;12.468082
RM590V3;41.87122;12.468082
RM156U4;41.855331;12.472305
RM156V4;41.855331;12.472305
RM644U4;41.830444;12.481444
RM644V4;41.830444;12.481444
RM061W1;41.824333;12.462972
RM061W2;41.824333;12.462972
RM061W3;41.824333;12.462972
RM611W1;41.865749;12.484722
RM611W2;41.865749;12.484722
RM611W3;41.865749;12.484722
RM192W1;41.867611;12.490611
RM192W2;41.867611;12.490611
RM192W3;41.867611;12.490611
RM601W1;41.865997;12.465278
RM601W2;41.865997;12.465278
RM601W3;41.865997;12.465278
RM720W1;41.875221;12.489695
RM720W2;41.875221;12.489695
RM720W3;41.875221;12.489695
RM043W1;41.878136;12.456416
RM043W2;41.878136;12.456416
RM043W3;41.878136;12.456416
RM073W1;41.872219;12.444528
RM073W2;41.872219;12.444528
RM073W3;41.872219;12.444528
RM042W1;41.871387;12.449028
RM042W2;41.871387;12.449028
RM042W3;41.871387;12.449028
RM047W1;41.821026;12.452194
RM047W2;41.821026;12.452194
RM047W3;41.821026;12.452194
RM058W1;41.843166;12.471389
RM058W2;41.843166;12.471389
RM058W3;41.843166;12.471389
RM648W1;41.841164;12.512028
RM648W2;41.841164;12.512028
RM648W3;41.841164;12.512028
RM318W1;41.834164;12.47461
RM318W2;41.834164;12.47461
RM318W3;41.834164;12.47461
RM321W1;41.851444;12.498944
RM321W2;41.851444;12.498944
RM321W3;41.851444;12.498944
RM887W1;41.817581;12.458694
RM887W2;41.817581;12.458694
RM887W3;41.817581;12.458694
RM645W1;41.842472;12.493306
RM645W2;41.842472;12.493306
RM645W3;41.842472;12.493306
RM647W1;41.835083;12.500417
RM647W2;41.835083;12.500417
RM647W3;41.835083;12.500417
RM646W1;41.831917;12.462083
RM646W2;41.831917;12.462083
RM646W3;41.831917;12.462083
RM056W1;41.830498;12.494722
RM056W2;41.830498;12.494722
RM056W3;41.830498;12.494722
RM060W1;41.821362;12.480194
RM060W2;41.821362;12.480194
RM060W3;41.821362;12.480194
RM040W1;41.88311;12.469417
RM040W2;41.88311;12.469417
RM040W3;41.88311;12.469417
RM049W1;41.847969;12.458388
RM049W2;41.847969;12.458388
RM049W3;41.847969;12.458388
RM052W1;41.851582;12.479361
RM052W2;41.851582;12.479361
RM052W3;41.851582;12.479361
RM053W1;41.847195;12.48575
RM053W2;41.847195;12.48575
RM053W3;41.847195;12.48575
RM055W1;41.850445;12.494555
RM055W2;41.850445;12.494555
RM055W3;41.850445;12.494555
RM175W1;41.859749;12.490167
RM175W2;41.859749;12.490167
RM175W3;41.859749;12.490167
RM041W1;41.882164;12.461027
RM041W2;41.882164;12.461027
RM328W1;41.87672;12.444639
RM328W2;41.87672;12.444639
RM328W3;41.87672;12.444639
RM366W1;41.877083;12.463111
RM366W2;41.877083;12.463111
RM724W1;41.827084;12.453639
RM039W1;41.87508;12.468888
RM039W2;41.87508;12.468888
RM039W3;41.87508;12.468888
RM358W1;41.869637;12.461555
RM358W2;41.869637;12.461555
RM358W3;41.869637;12.461555
RM062W1;41.817581;12.479805
RM062W2;41.817581;12.479805
RM062W3;41.817581;12.479805
RM178W1;41.822556;12.518027
RM178W2;41.822556;12.518027
RM178W3;41.822556;12.518027
RM037W1;41.878414;12.477611
RM037W2;41.878414;12.477611
RM037W3;41.878414;12.477611
RM176W1;41.828693;12.454778
RM176W2;41.828693;12.454778
RM176W3;41.828693;12.454778
RM044W1;41.863136;12.46925
RM044W2;41.863136;12.46925
RM044W3;41.863136;12.46925
RM057W1;41.830582;12.468082
RM057W2;41.830582;12.468082
RM057W3;41.830582;12.468082
RM716W1;41.832916;12.46761
RM716W2;41.832916;12.46761
RM716W3;41.832916;12.46761
RM177W1;41.832195;12.513166
RM177W2;41.832195;12.513166
RM177W3;41.832195;12.513166
RM509U1;41.718277;12.588056
RM509U2;41.718277;12.588056
RM509U3;41.718277;12.588056
RM509W1;41.718277;12.588056
RM509W2;41.718277;12.588056
RM509W3;41.718277;12.588056
RM509V1;41.718277;12.588056
RM509V2;41.718277;12.588056
RM509V3;41.718277;12.588056
RM045U1;41.861359;12.452583
RM045U2;41.861359;12.452583
RM045U3;41.861359;12.452583
