# Created: Mon Aug 04 14:42:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.075
#	output:	new-results/terasort/out-0.075.csv
#	metrics-output:	new-results/terasort/metrics-0.075.csv
#
# Points picked
# 	(1.0, 30.0, 2.0)
# 	(4.0, 20.0, 3.0)
# 	(1.0, 20.0, 4.0)
# 	(2.0, 10.0, 5.0)
# 	(1.0, 10.0, 6.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 30.0, 10.0)
x2	x3	x1	objective	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	Discretization	GaussianCurves	RBF	BagClassify	IsoRegression	
4.0	20.0	2.0	116.1100	216.3522	79.5309	89.2074	140.5042	203.2570	170.9967	312.8648	141.6697	97.8700	
4.0	30.0	2.0	168.4500	233.1812	133.8306	103.3852	192.7982	203.2570	211.1839	312.8648	286.0894	97.8700	
4.0	40.0	2.0	237.2300	233.1812	224.5426	117.5631	245.0922	203.2570	251.3266	312.8648	286.0894	308.6440	
4.0	50.0	2.0	362.6600	233.1812	344.5513	131.7410	297.3862	203.2570	279.6612	312.8648	286.0894	308.6440	
1.0	10.0	3.0	121.6500	216.3522	123.7213	116.7225	88.2102	203.2570	206.0689	312.8647	146.9284	97.8700	
1.0	20.0	3.0	219.5600	216.3522	207.1693	130.9004	140.5042	203.2570	253.6634	312.8647	146.9284	97.8700	
1.0	30.0	3.0	290.4400	233.1812	328.5755	145.0783	192.7982	203.2570	310.5542	312.8647	286.0894	97.8700	
1.0	40.0	3.0	379.0900	233.1812	465.2150	159.2562	245.0922	203.2570	360.9844	312.8647	286.0894	308.6440	
1.0	50.0	3.0	485.7900	233.1812	584.8409	173.4341	297.3862	203.2570	389.6032	312.8647	286.0894	308.6440	
2.0	10.0	3.0	112.3200	216.3522	77.6218	101.6493	88.2102	203.2570	177.0190	312.8647	146.9284	97.8700	
2.0	20.0	3.0	170.8600	216.3522	127.7529	115.8272	140.5042	203.2570	221.3559	312.8647	146.9284	97.8700	
2.0	30.0	3.0	220.8800	233.1812	214.2836	130.0051	192.7982	203.2570	277.0768	312.8647	286.0894	97.8700	
2.0	40.0	3.0	234.0400	233.1812	336.6813	144.1830	245.0922	203.2570	328.5729	312.8647	286.0894	308.6440	
2.0	50.0	3.0	282.4400	233.1812	469.3424	158.3609	297.3862	203.2570	360.3754	312.8647	286.0894	308.6440	
4.0	10.0	3.0	66.5100	216.3522	39.2976	71.5029	88.2102	203.2570	131.8162	312.8647	141.6697	97.8700	
4.0	20.0	3.0	86.0800	216.3522	53.6159	85.6808	140.5042	203.2570	158.1287	312.8647	141.6697	97.8700	
4.0	30.0	3.0	116.7500	233.1812	82.8989	99.8587	192.7982	203.2570	196.4963	312.8647	286.0894	97.8700	
4.0	40.0	3.0	157.9000	233.1812	138.9125	114.0366	245.0922	203.2570	235.8509	312.8647	286.0894	308.6440	
4.0	50.0	3.0	182.7200	233.1812	232.1712	128.2145	297.3862	203.2570	264.7324	312.8647	286.0894	308.6440	
1.0	10.0	4.0	105.3100	216.3522	86.7957	113.1960	88.2102	203.2570	194.5686	312.8604	146.9284	97.8700	
1.0	20.0	4.0	172.0700	216.3522	139.5111	127.3739	140.5042	203.2570	239.0857	312.8595	146.9284	97.8700	
1.0	30.0	4.0	234.2300	233.1812	229.7889	141.5518	192.7982	203.2570	293.3601	312.8587	286.0894	97.8700	
1.0	40.0	4.0	308.7800	233.1812	359.9973	155.7297	245.0922	203.2570	342.2897	312.8583	286.0894	308.6440	
1.0	50.0	4.0	374.3800	233.1812	507.0408	169.9076	297.3862	203.2570	371.0621	312.8582	286.0894	308.6440	
2.0	10.0	4.0	72.5000	216.3522	57.7112	98.1228	88.2102	203.2570	164.1980	312.8596	146.9284	97.8700	
2.0	20.0	4.0	109.4900	216.3522	86.6613	112.3007	140.5042	203.2570	204.7865	312.8585	146.9284	97.8700	
2.0	30.0	4.0	147.8300	233.1812	141.0873	126.4786	192.7982	203.2570	257.2423	312.8576	286.0894	97.8700	
2.0	40.0	4.0	182.4400	233.1812	233.5962	140.6565	245.0922	203.2570	306.7878	312.8570	286.0894	308.6440	
2.0	50.0	4.0	226.1300	233.1812	363.9338	154.8344	297.3862	203.2570	338.6349	312.8569	286.0894	308.6440	
4.0	10.0	4.0	54.7500	216.3522	34.2681	67.9764	88.2102	203.2570	121.4076	312.8591	141.6697	97.8700	
4.0	20.0	4.0	75.8700	216.3522	42.0623	82.1543	140.5042	203.2570	144.2893	312.8579	141.6697	97.8700	
4.0	30.0	4.0	99.5400	233.1812	57.8031	96.3322	192.7982	203.2570	179.6076	312.8569	286.0894	97.8700	
4.0	40.0	4.0	135.6200	233.1812	89.2010	110.5101	245.0922	203.2570	217.0902	312.8563	286.0894	308.6440	
4.0	50.0	4.0	147.7500	233.1812	148.3144	124.6879	297.3862	203.2570	245.9076	312.8562	286.0894	308.6440	
1.0	10.0	5.0	100.1100	197.0250	71.7001	109.6695	88.2102	203.2570	182.1784	312.5864	146.9284	97.8700	
1.0	20.0	5.0	150.1000	197.0250	105.8596	123.8474	140.5042	203.2570	222.5366	312.5269	146.9284	97.8700	
1.0	30.0	5.0	199.1300	213.8541	166.4208	138.0253	192.7982	203.2570	272.9809	312.4787	286.0894	97.8700	
1.0	40.0	5.0	256.9800	213.8541	266.3849	152.2031	245.0922	203.2570	319.3949	312.4494	286.0894	308.6440	
1.0	50.0	5.0	306.4200	213.8541	407.3477	166.3810	297.3862	203.2570	347.8199	312.4440	286.0894	308.6440	
2.0	10.0	5.0	72.5300	197.0250	50.2908	94.5963	88.2102	203.2570	150.9963	312.5338	146.9284	97.8700	
2.0	20.0	5.0	101.6800	197.0250	68.7774	108.7742	140.5042	203.2570	186.7770	312.4631	146.9284	97.8700	
2.0	30.0	5.0	128.9900	213.8541	102.8508	122.9521	192.7982	203.2570	234.7360	312.4058	286.0894	97.8700	
