# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
2.0	60.0	5.0	101.2700	126.9862	120.8537	102.4216	113.3187	118.4200	109.9233	107.7814	110.3087	115.3388	
2.0	70.0	5.0	109.5000	127.8569	120.8537	105.4897	114.6488	118.4200	109.9233	107.7814	117.6360	115.3388	
2.0	80.0	5.0	117.3000	128.7055	120.8537	109.6785	115.9790	118.4200	109.9233	107.7814	125.1242	115.3388	
2.0	90.0	5.0	126.7800	129.5042	120.8537	115.5210	117.3092	118.4200	115.3653	107.7814	131.0934	115.3388	
2.0	100.0	5.0	134.8100	130.2314	120.8537	123.7382	118.6394	118.4200	115.3653	107.7814	134.3393	115.3388	
4.0	50.0	5.0	66.8200	78.5658	75.1764	83.2643	76.6530	80.7529	88.4032	80.2600	81.6308	93.8296	
4.0	60.0	5.0	65.9200	78.5659	75.1764	84.2416	77.9832	80.7529	88.4032	80.2600	80.6000	93.8296	
4.0	70.0	5.0	74.8100	78.5660	75.1764	85.2446	79.3134	80.7529	88.4032	80.2600	82.0380	93.8296	
4.0	80.0	5.0	71.3700	78.5662	75.1764	86.2773	80.6436	80.7529	89.3497	80.2600	85.5695	93.8296	
4.0	90.0	5.0	83.7000	78.5664	75.1764	87.3471	81.9738	80.7529	89.3497	80.2600	90.4231	93.8296	
